Pays;DateD;GovernmentResponseTracker
France;01/01/2020;0
France;02/01/2020;0
France;03/01/2020;0
France;04/01/2020;0
France;05/01/2020;0
France;06/01/2020;0
France;07/01/2020;0
France;08/01/2020;0
France;09/01/2020;0
France;10/01/2020;0
France;11/01/2020;0
France;12/01/2020;0
France;13/01/2020;0
France;14/01/2020;0
France;15/01/2020;0
France;16/01/2020;0
France;17/01/2020;0
France;18/01/2020;0
France;19/01/2020;0
France;20/01/2020;0
France;21/01/2020;0
France;22/01/2020;0
France;23/01/2020;0
France;24/01/2020;8.33
France;25/01/2020;8.33
France;26/01/2020;8.33
France;27/01/2020;8.33
France;28/01/2020;8.33
France;29/01/2020;8.33
France;30/01/2020;8.33
France;31/01/2020;8.33
France;01/02/2020;8.33
France;02/02/2020;8.33
France;03/02/2020;8.33
France;04/02/2020;8.33
France;05/02/2020;8.33
France;06/02/2020;8.33
France;07/02/2020;8.33
France;08/02/2020;8.33
France;09/02/2020;8.33
France;10/02/2020;8.33
France;11/02/2020;8.33
France;12/02/2020;8.33
France;13/02/2020;8.33
France;14/02/2020;8.33
France;15/02/2020;8.33
France;16/02/2020;8.33
France;17/02/2020;8.33
France;18/02/2020;8.33
France;19/02/2020;8.33
France;20/02/2020;8.33
France;21/02/2020;8.33
France;22/02/2020;8.33
France;23/02/2020;8.33
France;24/02/2020;8.33
France;25/02/2020;11.11
France;26/02/2020;11.11
France;27/02/2020;11.11
France;28/02/2020;11.11
France;29/02/2020;31.94
France;01/03/2020;31.94
France;02/03/2020;41.2
France;03/03/2020;41.2
France;04/03/2020;41.2
France;05/03/2020;41.2
France;06/03/2020;41.2
France;07/03/2020;41.2
France;08/03/2020;41.2
France;09/03/2020;41.2
France;10/03/2020;41.2
France;11/03/2020;41.2
France;12/03/2020;41.2
France;13/03/2020;41.2
France;14/03/2020;46.76
France;15/03/2020;46.76
France;16/03/2020;54.17
France;17/03/2020;87.96
France;18/03/2020;87.96
France;19/03/2020;87.96
France;20/03/2020;87.96
France;21/03/2020;87.96
France;22/03/2020;87.96
France;23/03/2020;87.96
France;24/03/2020;87.96
France;25/03/2020;87.96
France;26/03/2020;87.96
France;27/03/2020;87.96
France;28/03/2020;87.96
France;29/03/2020;87.96
France;30/03/2020;87.96
France;31/03/2020;87.96
France;01/04/2020;87.96
France;02/04/2020;87.96
France;03/04/2020;87.96
France;04/04/2020;87.96
France;05/04/2020;87.96
France;06/04/2020;87.96
France;07/04/2020;87.96
France;08/04/2020;87.96
France;09/04/2020;87.96
France;10/04/2020;87.96
France;11/04/2020;87.96
France;12/04/2020;87.96
France;13/04/2020;87.96
France;14/04/2020;87.96
France;15/04/2020;87.96
France;16/04/2020;87.96
France;17/04/2020;87.96
France;18/04/2020;87.96
France;19/04/2020;87.96
France;20/04/2020;87.96
France;21/04/2020;87.96
France;22/04/2020;87.96
France;23/04/2020;87.96
France;24/04/2020;87.96
France;25/04/2020;87.96
France;26/04/2020;87.96
France;27/04/2020;87.96
France;28/04/2020;87.96
France;29/04/2020;87.96
France;30/04/2020;87.96
France;01/05/2020;87.96
France;02/05/2020;87.96
France;03/05/2020;87.96
France;04/05/2020;87.96
France;05/05/2020;87.96
France;06/05/2020;87.96
France;07/05/2020;87.96
France;08/05/2020;87.96
France;09/05/2020;87.96
France;10/05/2020;87.96
France;11/05/2020;76.85
France;12/05/2020;76.85
France;13/05/2020;76.85
France;14/05/2020;76.85
France;15/05/2020;76.85
France;16/05/2020;76.85
France;17/05/2020;76.85
France;18/05/2020;76.85
France;19/05/2020;76.85
France;20/05/2020;76.85
France;21/05/2020;76.85
France;22/05/2020;76.85
France;23/05/2020;76.85
France;24/05/2020;76.85
France;25/05/2020;76.85
France;26/05/2020;75
France;27/05/2020;75
France;28/05/2020;75
France;29/05/2020;75
France;30/05/2020;75
France;31/05/2020;75
France;01/06/2020;75
France;02/06/2020;72.22
France;03/06/2020;72.22
France;04/06/2020;72.22
France;05/06/2020;72.22
France;06/06/2020;72.22
France;07/06/2020;72.22
France;08/06/2020;72.22
France;09/06/2020;72.22
France;10/06/2020;72.22
France;11/06/2020;72.22
France;12/06/2020;72.22
France;13/06/2020;72.22
France;14/06/2020;72.22
France;15/06/2020;72.22
France;16/06/2020;72.22
France;17/06/2020;72.22
France;18/06/2020;72.22
France;19/06/2020;72.22
France;20/06/2020;72.22
France;21/06/2020;72.22
France;22/06/2020;51.85
France;23/06/2020;51.85
France;24/06/2020;51.85
France;25/06/2020;51.85
France;26/06/2020;51.85
France;27/06/2020;51.85
France;28/06/2020;51.85
France;29/06/2020;51.85
France;30/06/2020;51.85
France;01/07/2020;51.85
France;02/07/2020;51.85
France;03/07/2020;51.85
France;04/07/2020;51.85
France;05/07/2020;51.85
France;06/07/2020;51.85
France;07/07/2020;51.85
France;08/07/2020;51.85
France;09/07/2020;51.85
France;10/07/2020;51.85
France;11/07/2020;46.3
France;12/07/2020;46.3
France;13/07/2020;46.3
France;14/07/2020;46.3
France;15/07/2020;46.3
France;16/07/2020;46.3
France;17/07/2020;46.3
France;18/07/2020;46.3
France;19/07/2020;46.3
France;20/07/2020;46.3
France;21/07/2020;46.3
France;22/07/2020;46.3
France;23/07/2020;46.3
France;24/07/2020;46.3
France;25/07/2020;46.3
France;26/07/2020;46.3
France;27/07/2020;46.3
France;28/07/2020;46.3
France;29/07/2020;46.3
France;30/07/2020;46.3
France;31/07/2020;46.3
France;01/08/2020;46.3
France;02/08/2020;46.3
France;03/08/2020;46.3
France;04/08/2020;46.3
France;05/08/2020;46.3
France;06/08/2020;46.3
France;07/08/2020;46.3
France;08/08/2020;46.3
France;09/08/2020;46.3
France;10/08/2020;46.3
France;11/08/2020;46.3
France;12/08/2020;46.3
France;13/08/2020;46.3
France;14/08/2020;48.15
France;15/08/2020;48.15
France;16/08/2020;48.15
France;17/08/2020;48.15
France;18/08/2020;48.15
France;19/08/2020;48.15
France;20/08/2020;48.15
France;21/08/2020;48.15
France;22/08/2020;48.15
France;23/08/2020;48.15
France;24/08/2020;48.15
France;25/08/2020;48.15
France;26/08/2020;48.15
France;27/08/2020;48.15
France;28/08/2020;48.15
France;29/08/2020;48.15
France;30/08/2020;48.15
France;31/08/2020;48.15
France;01/09/2020;46.76
France;02/09/2020;46.76
France;03/09/2020;48.61
France;04/09/2020;48.61
France;05/09/2020;48.61
France;06/09/2020;48.61
France;07/09/2020;48.61
France;08/09/2020;48.61
France;09/09/2020;48.61
France;10/09/2020;48.61
France;11/09/2020;48.61
France;12/09/2020;48.61
France;13/09/2020;48.61
France;14/09/2020;48.61
France;15/09/2020;48.61
France;16/09/2020;48.61
France;17/09/2020;48.61
France;18/09/2020;48.61
France;19/09/2020;48.61
France;20/09/2020;48.61
France;21/09/2020;48.61
France;22/09/2020;46.76
France;23/09/2020;46.76
France;24/09/2020;46.76
France;25/09/2020;46.76
France;26/09/2020;49.54
France;27/09/2020;49.54
France;28/09/2020;49.54
France;29/09/2020;49.54
France;30/09/2020;49.54
France;01/10/2020;49.54
France;02/10/2020;49.54
France;03/10/2020;49.54
France;04/10/2020;49.54
France;05/10/2020;49.54
France;06/10/2020;49.54
France;07/10/2020;49.54
France;08/10/2020;49.54
France;09/10/2020;49.54
France;10/10/2020;43.98
France;11/10/2020;43.98
France;12/10/2020;43.98
France;13/10/2020;43.98
France;14/10/2020;43.98
France;15/10/2020;43.98
France;16/10/2020;43.98
France;17/10/2020;49.54
France;18/10/2020;49.54
France;19/10/2020;49.54
France;20/10/2020;49.54
France;21/10/2020;49.54
France;22/10/2020;49.54
France;23/10/2020;49.54
France;24/10/2020;49.54
France;25/10/2020;49.54
France;26/10/2020;49.54
France;27/10/2020;49.54
France;28/10/2020;49.54
France;29/10/2020;49.54
France;30/10/2020;78.7
France;31/10/2020;78.7
France;01/11/2020;78.7
France;02/11/2020;78.7
France;03/11/2020;78.7
France;04/11/2020;78.7
France;05/11/2020;78.7
France;06/11/2020;78.7
France;07/11/2020;78.7
France;08/11/2020;78.7
France;09/11/2020;78.7
France;10/11/2020;78.7
France;11/11/2020;78.7
France;12/11/2020;78.7
France;13/11/2020;78.7
France;14/11/2020;78.7
France;15/11/2020;78.7
France;16/11/2020;78.7
France;17/11/2020;78.7
France;18/11/2020;78.7
France;19/11/2020;78.7
France;20/11/2020;78.7
France;21/11/2020;78.7
France;22/11/2020;78.7
France;23/11/2020;78.7
Italy;01/01/2020;0
Italy;02/01/2020;0
Italy;03/01/2020;0
Italy;04/01/2020;0
Italy;05/01/2020;0
Italy;06/01/2020;0
Italy;07/01/2020;0
Italy;08/01/2020;0
Italy;09/01/2020;0
Italy;10/01/2020;0
Italy;11/01/2020;0
Italy;12/01/2020;0
Italy;13/01/2020;0
Italy;14/01/2020;0
Italy;15/01/2020;0
Italy;16/01/2020;0
Italy;17/01/2020;0
Italy;18/01/2020;0
Italy;19/01/2020;0
Italy;20/01/2020;0
Italy;21/01/2020;0
Italy;22/01/2020;0
Italy;23/01/2020;2.78
Italy;24/01/2020;2.78
Italy;25/01/2020;2.78
Italy;26/01/2020;2.78
Italy;27/01/2020;2.78
Italy;28/01/2020;2.78
Italy;29/01/2020;2.78
Italy;30/01/2020;8.33
Italy;31/01/2020;19.44
Italy;01/02/2020;19.44
Italy;02/02/2020;19.44
Italy;03/02/2020;19.44
Italy;04/02/2020;19.44
Italy;05/02/2020;19.44
Italy;06/02/2020;19.44
Italy;07/02/2020;19.44
Italy;08/02/2020;19.44
Italy;09/02/2020;19.44
Italy;10/02/2020;19.44
Italy;11/02/2020;19.44
Italy;12/02/2020;19.44
Italy;13/02/2020;19.44
Italy;14/02/2020;19.44
Italy;15/02/2020;19.44
Italy;16/02/2020;19.44
Italy;17/02/2020;19.44
Italy;18/02/2020;19.44
Italy;19/02/2020;19.44
Italy;20/02/2020;19.44
Italy;21/02/2020;27.78
Italy;22/02/2020;37.04
Italy;23/02/2020;69.91
Italy;24/02/2020;69.91
Italy;25/02/2020;69.91
Italy;26/02/2020;69.91
Italy;27/02/2020;69.91
Italy;28/02/2020;69.91
Italy;29/02/2020;69.91
Italy;01/03/2020;69.91
Italy;02/03/2020;69.91
Italy;03/03/2020;69.91
Italy;04/03/2020;74.54
Italy;05/03/2020;74.54
Italy;06/03/2020;74.54
Italy;07/03/2020;74.54
Italy;08/03/2020;74.54
Italy;09/03/2020;74.54
Italy;10/03/2020;82.41
Italy;11/03/2020;85.19
Italy;12/03/2020;85.19
Italy;13/03/2020;85.19
Italy;14/03/2020;85.19
Italy;15/03/2020;85.19
Italy;16/03/2020;85.19
Italy;17/03/2020;85.19
Italy;18/03/2020;85.19
Italy;19/03/2020;85.19
Italy;20/03/2020;91.67
Italy;21/03/2020;91.67
Italy;22/03/2020;91.67
Italy;23/03/2020;91.67
Italy;24/03/2020;91.67
Italy;25/03/2020;91.67
Italy;26/03/2020;91.67
Italy;27/03/2020;91.67
Italy;28/03/2020;91.67
Italy;29/03/2020;91.67
Italy;30/03/2020;91.67
Italy;31/03/2020;91.67
Italy;01/04/2020;91.67
Italy;02/04/2020;91.67
Italy;03/04/2020;91.67
Italy;04/04/2020;91.67
Italy;05/04/2020;91.67
Italy;06/04/2020;91.67
Italy;07/04/2020;91.67
Italy;08/04/2020;91.67
Italy;09/04/2020;91.67
Italy;10/04/2020;87.96
Italy;11/04/2020;87.96
Italy;12/04/2020;93.52
Italy;13/04/2020;93.52
Italy;14/04/2020;93.52
Italy;15/04/2020;93.52
Italy;16/04/2020;93.52
Italy;17/04/2020;93.52
Italy;18/04/2020;93.52
Italy;19/04/2020;93.52
Italy;20/04/2020;93.52
Italy;21/04/2020;93.52
Italy;22/04/2020;93.52
Italy;23/04/2020;93.52
Italy;24/04/2020;93.52
Italy;25/04/2020;93.52
Italy;26/04/2020;93.52
Italy;27/04/2020;93.52
Italy;28/04/2020;93.52
Italy;29/04/2020;93.52
Italy;30/04/2020;93.52
Italy;01/05/2020;93.52
Italy;02/05/2020;93.52
Italy;03/05/2020;93.52
Italy;04/05/2020;62.96
